"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","should return Hello world when no name is provided","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","GET /hello","Integration tests for server routes","",""
"","4","responds with greeting including name from x-name header","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","POST /hello","E2E tests for all routes","",""
"","4","responds with greeting including name when name is provided","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","GET /hello","E2E tests for all routes","",""
"","85","returns 404 for non-existent routes","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","Error handling","E2E tests for all routes","",""
"","4","should return greeting with name when name is provided","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","GET /hello","Integration tests for server routes","",""
"","7","should return 404 for non-existent routes","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","Error handling","Integration tests for server routes","",""
"","0","returns the hello world message","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","","getGreeting","",""
"","2","should handle special characters in x-name header","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","POST /hello","Integration tests for server routes","",""
"","3","handles special characters in name parameter","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","GET /hello","E2E tests for all routes","",""
"","4","should handle malformed requests gracefully","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","Error handling","Integration tests for server routes","",""
"","25","responds with Hello world when no name is provided","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","GET /hello","E2E tests for all routes","",""
"","3","responds with Hello world when no x-name header is provided","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","POST /hello","E2E tests for all routes","",""
"","3","should handle special characters in name","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","GET /hello","Integration tests for server routes","",""
"","4","should return greeting with name from header","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","POST /hello","Integration tests for server routes","",""
"","3","should return Hello world when no x-name header is provided","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","POST /hello","Integration tests for server routes","",""
"","24","should return Hello world","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","","GET /hello","",""
"","3","should handle empty string as name","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","GET /hello","Integration tests for server routes","",""
"","3","handles special characters in x-name header","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","POST /hello","E2E tests for all routes","",""
"","3","should handle empty string in x-name header","","Wed Dec 10 17:37:22 UTC 2025","passed","Wed Dec 10 17:37:22 UTC 2025","POST /hello","Integration tests for server routes","",""
